r 1.442864 4 1 ack 40 ------- 1 5.0 2.0 6 36
+ 1.442864 1 2 ack 40 ------- 1 5.0 2.0 6 36
- 1.442864 1 2 ack 40 ------- 1 5.0 2.0 6 36
- 1.447952 1 4 tcp 1040 ------- 1 2.0 5.0 9 39
r 1.447952 2 1 tcp 1040 ------- 1 2.0 5.0 11 41
+ 1.447952 1 4 tcp 1040 ------- 1 2.0 5.0 11 41
r 1.449616 2 1 tcp 1040 ------- 1 2.0 5.0 12 42
+ 1.449616 1 4 tcp 1040 ------- 1 2.0 5.0 12 42
r 1.452928 1 2 ack 40 ------- 1 5.0 2.0 6 36
+ 1.452928 2 1 tcp 1040 ------- 1 2.0 5.0 13 43
- 1.452928 2 1 tcp 1040 ------- 1 2.0 5.0 13 43
+ 1.452928 2 1 tcp 1040 ------- 1 2.0 5.0 14 44
- 1.454592 2 1 tcp 1040 ------- 1 2.0 5.0 14 44
- 1.464592 1 4 tcp 1040 ------- 1 2.0 5.0 10 40
r 1.464592 2 1 tcp 1040 ------- 1 2.0 5.0 13 43
+ 1.464592 1 4 tcp 1040 ------- 1 2.0 5.0 13 43
r 1.466256 2 1 tcp 1040 ------- 1 2.0 5.0 14 44
+ 1.466256 1 4 tcp 1040 ------- 1 2.0 5.0 14 44
r 1.471312 1 4 tcp 1040 ------- 1 2.0 5.0 7 37
+ 1.471312 4 5 tcp 1040 ------- 1 2.0 5.0 7 37
- 1.471312 4 5 tcp 1040 ------- 1 2.0 5.0 7 37
- 1.481232 1 4 tcp 1040 ------- 1 2.0 5.0 11 41
r 1.482976 4 5 tcp 1040 ------- 1 2.0 5.0 7 37
+ 1.482976 5 4 ack 40 ------- 1 5.0 2.0 7 45
- 1.482976 5 4 ack 40 ------- 1 5.0 2.0 7 45
r 1.487952 1 4 tcp 1040 ------- 1 2.0 5.0 8 38
+ 1.487952 4 5 tcp 1040 ------- 1 2.0 5.0 8 38
- 1.487952 4 5 tcp 1040 ------- 1 2.0 5.0 8 38
r 1.49304 5 4 ack 40 ------- 1 5.0 2.0 7 45
+ 1.49304 4 1 ack 40 ------- 1 5.0 2.0 7 45
- 1.49304 4 1 ack 40 ------- 1 5.0 2.0 7 45
- 1.497872 1 4 tcp 1040 ------- 1 2.0 5.0 12 42
r 1.499616 4 5 tcp 1040 ------- 1 2.0 5.0 8 38
+ 1.499616 5 4 ack 40 ------- 1 5.0 2.0 8 46
- 1.499616 5 4 ack 40 ------- 1 5.0 2.0 8 46
r 1.504592 1 4 tcp 1040 ------- 1 2.0 5.0 9 39
+ 1.504592 4 5 tcp 1040 ------- 1 2.0 5.0 9 39
- 1.504592 4 5 tcp 1040 ------- 1 2.0 5.0 9 39
r 1.50968 5 4 ack 40 ------- 1 5.0 2.0 8 46
+ 1.50968 4 1 ack 40 ------- 1 5.0 2.0 8 46
- 1.50968 4 1 ack 40 ------- 1 5.0 2.0 8 46
- 1.514512 1 4 tcp 1040 ------- 1 2.0 5.0 13 43
r 1.516256 4 5 tcp 1040 ------- 1 2.0 5.0 9 39
+ 1.516256 5 4 ack 40 ------- 1 5.0 2.0 9 47
- 1.516256 5 4 ack 40 ------- 1 5.0 2.0 9 47
r 1.521232 1 4 tcp 1040 ------- 1 2.0 5.0 10 40
+ 1.521232 4 5 tcp 1040 ------- 1 2.0 5.0 10 40
- 1.521232 4 5 tcp 1040 ------- 1 2.0 5.0 10 40
r 1.52632 5 4 ack 40 ------- 1 5.0 2.0 9 47
+ 1.52632 4 1 ack 40 ------- 1 5.0 2.0 9 47
- 1.52632 4 1 ack 40 ------- 1 5.0 2.0 9 47
- 1.531152 1 4 tcp 1040 ------- 1 2.0 5.0 14 44
r 1.532896 4 5 tcp 1040 ------- 1 2.0 5.0 10 40
+ 1.532896 5 4 ack 40 ------- 1 5.0 2.0 10 48
- 1.532896 5 4 ack 40 ------- 1 5.0 2.0 10 48
r 1.53368 4 1 ack 40 ------- 1 5.0 2.0 7 45
+ 1.53368 1 2 ack 40 ------- 1 5.0 2.0 7 45
- 1.53368 1 2 ack 40 ------- 1 5.0 2.0 7 45
r 1.537872 1 4 tcp 1040 ------- 1 2.0 5.0 11 41
+ 1.537872 4 5 tcp 1040 ------- 1 2.0 5.0 11 41
- 1.537872 4 5 tcp 1040 ------- 1 2.0 5.0 11 41
r 1.54296 5 4 ack 40 ------- 1 5.0 2.0 10 48
+ 1.54296 4 1 ack 40 ------- 1 5.0 2.0 10 48
- 1.54296 4 1 ack 40 ------- 1 5.0 2.0 10 48
r 1.543744 1 2 ack 40 ------- 1 5.0 2.0 7 45
